"id","age","gen","smp","Bew 01","bew_02","BEW 03"
326,21,1,0,5,6,5
327,31,0,1,5,6,5
328,35,1,0,6,7,7
332,25,0,1,7,7,7
334,25,0,0,7,7,7
335,20,0,0,6,6,5
336,25,0,1,7,7,7
337,28,1,1,7,7,6
338,23,0,0,6,6,6
339,25,1,0,5,5,6
346,25,0,1,6,6,6
349,36,1,1,6,7,7
350,24,0,0,4,5,5
355,22,0,1,4,6,4
358,33,0,1,7,7,7
360,26,1,1,6,7,7
361,27,0,1,6,6,6
362,26,0,1,7,6,7
364,40,1,1,7,6,7
365,27,1,0,7,7,7
366,31,0,0,0,3,3
369,54,0,1,7,7,6
370,25,0,1,6,4,6
372,24,0,1,7,6,7
374,27,1,0,6,7,6
377,29,0,0,5,5,5
378,20,0,1,4,7,4
380,34,0,1,6,7,6
381,22,0,0,7,7,5
383,29,1,1,7,7,7
385,25,0,0,6,6,5
389,26,0,0,7,6,7
390,34,0,1,6,7,5
391,25,0,1,7,7,7
392,25,1,1,7,7,6
394,27,0,0,6,5,6
395,24,1,0,5,6,5
396,21,0,1,7,7,5
397,32,0,1,4,7,4
398,55,1,1,7,7,5
399,36,1,0,5,5,5
400,21,1,1,5,5,4
402,28,1,1,6,6,6
403,18,0,1,7,7,7
404,25,0,0,2,2,5
409,23,1,0,5,6,5
410,62,1,0,2,5,5
411,45,0,0,6,6,6
414,53,0,0,6,4,6
416,51,0,1,6,6,6
417,48,1,1,7,7,7
418,24,0,0,5,5,5
419,23,0,1,5,5,4
421,26,0,0,7,5,6
423,31,0,1,7,7,6
424,23,1,0,4,1,6
429,21,0,1,4,7,4
430,22,0,0,5,4,4
433,26,0,0,7,6,7
434,24,0,0,6,3,5
436,21,0,1,6,7,5
438,48,0,1,7,7,7
443,48,0,0,5,4,4
446,25,0,1,6,7,5
448,46,1,1,6,6,4
449,22,0,0,6,7,7
450,52,1,0,7,7,6
451,25,0,0,6,7,6
456,27,1,0,7,7,7
458,24,0,1,6,7,6
460,23,0,0,6,5,6
462,57,0,1,7,7,7
465,28,0,1,6,7,5
468,26,1,0,5,5,5
474,25,1,0,4,5,3
475,24,0,0,2,5,2
476,25,0,1,7,7,6
477,26,0,0,6,5,5
479,23,0,0,7,6,7
480,25,0,1,6,7,6
481,24,1,0,5,5,3
482,34,0,0,5,5,4
484,25,1,1,7,7,7
485,22,1,0,3,5,4
486,26,1,1,7,7,7
487,25,1,0,4,3,6
488,25,0,0,6,6,5
489,25,0,0,5,4,4
491,24,0,0,4,3,5
492,25,1,0,3,3,2
493,26,1,1,7,6,7
495,23,0,1,6,7,6
496,26,0,0,3,3,3
498,26,1,0,5,5,5
499,21,0,0,0,7,4
500,26,0,1,7,7,4
